Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|DayNight_READ_00138031	230366	98.29	2e-56	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
2|DayNight_READ_00122257	92037	100	5e-60	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
3|DayNight_READ_00087915	137124	100	5e-60	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
4|DayNight_READ_00138515	137124	100	5e-60	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
5|DayNight_READ_00130166	92037	100	1e-60	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
6|DayNight_READ_00117010	92037	100	2e-59	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
7|DayNight_READ_00101705	92037	100	5e-60	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
8|DayNight_READ_00045332	204506	100	2e-53	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
9|DayNight_READ_00023085	92037	100	1e-60	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
10|DayNight_READ_00122451	177523	100	8e-62	Bacteria; Unclassified; otu_205
11|DayNight_READ_00006927	106171	100	7e-59	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Unclassified; otu_2512
12|DayNight_READ_00022186	92037	100	3e-58	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
13|DayNight_READ_00041646	92037	100	3e-58	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
14|DayNight_READ_00059911	92037	100	3e-58	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
15|DayNight_READ_00080500	137124	100	7e-59	Bacteria; Cyanobacteria; Chroococcales; Synechococcus; Unclassified; otu_1205
16|DayNight_READ_00146144	92037	100	3e-55	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
17|DayNight_READ_00141039	92037	100	2e-56	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
18|DayNight_READ_00146432	92037	100	2e-56	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
